Date and Time,Description,Reference No.,Debit,Credit,Balance
7/31/2025 13:29,Transfer from My_Number to Others_Number,3.03119E+12,7000,,706.35
8/1/2025 12:48,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03123E+12,,500,1206.35
8/1/2025 12:53,Payment to LootBar,384721069,1028.96,,177.39
8/1/2025 14:20,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03123E+12,,1000,1177.39
8/1/2025 14:21,"Payment to Apple services, Merchant Transaction Number: MN40T067Z6a0",384580384,199,,978.39
8/6/2025 17:12,Payment to Smart GigaLife,802190873,149,,829.39
8/7/2025 18:40,Transfer from Others_Number to My_Number,31440045878,,15,844.39
8/9/2025 17:08,Transfer from My_Number to Others_Number,3.0315E+12,89,,755.39
8/16/2025 15:48,"Payment to SPOTIFY AB, Merchant Transaction Number: P399535779",335578347,75,,680.39
8/18/2025 11:26,Transfer from Others_Number to My_Number,31783773023,,70,750.39
8/20/2025 14:10,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03185E+12,,1000,1750.39
8/20/2025 15:49,Payment to Smart GigaLife,549527941,149,,1601.39
8/23/2025 16:50,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03194E+12,,4500,6101.39
8/23/2025 16:52,Transfer from My_Number to Others_Number,3.03194E+12,5700,,401.39
8/24/2025 19:14,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03198E+12,,300,701.39
8/24/2025 19:14,Payment to Bancnet P2M Send,359079973,500,,201.39
8/28/2025 17:26,"Received GCash from BDO Unibank, Inc. with account ending in 4748",3.03209E+12,,500,701.39
8/28/2025 17:29,Transfer from Others_Number to My_Number,32089157769,,35,736.39
8/28/2025 17:31,Transfer from My_Number to Others_Number,3.03209E+12,185,,551.39
8/28/2025 17:53,Transfer from My_Number to Others_Number,3.03209E+12,130,,421.39
9/4/2025 13:49,Payment to Lazada,390535274,190,,231.39
9/6/2025 10:56,Payment to Grab Philippines,399904401,111,,120.39
